Date,Open,High,Low,Close,Volume,Change
2024-08-07,9960,10190,9900,10070,129871,0.0009940357852882276
2024-08-08,9890,10100,9830,10100,62337,0.002979145978152964
2024-08-09,10120,10600,10000,10560,98676,0.045544554455445585
2024-08-12,10560,10970,10300,10480,91361,-0.007575757575757569
2024-08-13,10300,10390,9920,10170,152551,-0.029580152671755733
2024-08-14,10010,10240,10010,10170,82270,0.0
2024-08-16,10180,10270,9790,10200,209760,0.002949852507374562
2024-08-19,10190,10700,10060,10250,143407,0.004901960784313708
2024-08-20,10100,10380,10060,10150,70651,-0.009756097560975618
2024-08-21,10140,10380,10120,10190,51530,0.003940886699507429
2024-08-22,10190,10350,9990,10100,75579,-0.008832188420019649
2024-08-23,10100,10140,9950,10100,45350,0.0
2024-08-26,10120,10250,9990,10100,50115,0.0
2024-08-27,10000,10050,9060,9900,370043,-0.01980198019801982
2024-08-28,9900,10350,9510,9910,155061,0.0010101010101009056
2024-08-29,9630,10330,9630,10300,119082,0.039354187689202735
2024-08-30,10280,10590,10170,10430,155219,0.012621359223300876
2024-09-02,10320,10490,10000,10170,135816,-0.024928092042186045
2024-09-03,10150,10360,10060,10060,102945,-0.010816125860373615
2024-09-04,10040,10190,9840,10060,127766,0.0
2024-09-05,10020,10350,9930,10310,199930,0.0248508946322068
2024-09-06,10270,10430,10000,10360,172136,0.004849660523763344
2024-09-09,10140,10770,10080,10300,242708,-0.00579150579150578
2024-09-10,10300,10550,9990,10180,185000,-0.011650485436893177
2024-09-11,10160,10500,10160,10430,125448,0.024557956777996104
2024-09-12,10260,10680,9900,10000,815416,-0.04122722914669219
2024-09-13,10000,10280,9590,10180,328694,0.018000000000000016
2024-09-19,10190,13230,10180,13230,2407949,0.29960707269155207
2024-09-20,13500,16800,13030,15180,7494622,0.14739229024943312
2024-09-23,15240,17000,15150,15990,2994361,0.05335968379446632
2024-09-24,16100,18480,16070,17830,2782455,0.11507191994996879
2024-09-25,18140,21600,18140,19670,780169,0.10319685922602351
2024-09-26,20850,20850,18520,20300,573953,0.03202846975088969
2024-09-27,19800,20400,19440,20400,401850,0.0049261083743843415
2024-09-30,19710,20750,18120,19760,1013308,-0.03137254901960784
2024-10-02,19180,20150,18230,19360,722758,-0.020242914979757054
2024-10-04,19270,19750,18560,19410,511732,0.0025826446280992066
2024-10-07,19400,20900,19070,20600,760265,0.06130860381246772
2024-10-08,20400,21000,19900,20950,467932,0.016990291262136026
2024-10-10,20950,21200,19740,19850,504543,-0.05250596658711215
