Date,Open,High,Low,Close,Volume,Change
2024-07-25,80400,81000,80100,80400,20323811,-0.019512195121951237
2024-07-26,80700,81300,80400,80900,14508334,0.006218905472636926
2024-07-29,81600,82000,81100,81200,12797136,0.003708281829418958
2024-07-30,80400,81000,80000,81000,13169636,-0.0024630541871921707
2024-07-31,81200,83900,80900,83900,20744323,0.03580246913580254
2024-08-01,86000,86100,83100,83100,20900338,-0.009535160905840279
2024-08-02,81000,81400,79500,79600,25800275,-0.04211793020457277
2024-08-05,76700,76900,70200,71400,54608790,-0.10301507537688437
2024-08-06,74900,75300,72300,72500,47295226,0.01540616246498594
2024-08-07,73000,76000,72800,74700,32710428,0.030344827586206824
2024-08-08,73200,73900,72500,73400,28414729,-0.01740294511378848
2024-08-09,75700,75800,74200,74700,16388222,0.017711171662125436
2024-08-12,75200,75900,74800,75500,9839259,0.010709504685408211
2024-08-13,76500,76600,75500,76100,10716261,0.007947019867549754
2024-08-14,77400,77800,77000,77200,13246168,0.014454664914586024
2024-08-16,79400,80200,78700,80200,22061478,0.03886010362694292
2024-08-19,80100,80100,78000,78300,14146565,-0.023690773067331694
2024-08-20,79500,79800,78700,78900,10683836,0.00766283524904221
2024-08-21,77900,78600,77800,78300,7805598,-0.0076045627376425395
2024-08-22,78700,78900,77800,78300,8149101,0.0
2024-08-23,77700,78400,77500,77700,9420306,-0.007662835249042099
2024-08-26,78100,78200,76000,76100,15655938,-0.020592020592020588
2024-08-27,75700,76500,75600,75800,11130145,-0.003942181340341633
2024-08-28,75800,76400,75400,76400,9794514,0.0079155672823219
2024-08-29,73600,74700,73500,74000,16884479,-0.03141361256544506
2024-08-30,74400,75000,74100,74300,16358520,0.004054054054054124
2024-09-02,74500,74700,73500,74400,12641376,0.0013458950201883368
2024-09-03,74100,74300,72500,72500,16314599,-0.025537634408602128
2024-09-04,69800,71100,69800,70000,27366563,-0.03448275862068961
2024-09-05,70100,71200,69000,69000,25686769,-0.014285714285714235
2024-09-06,69100,69700,68000,68900,19022299,-0.0014492753623188692
2024-09-09,66900,68200,66600,67500,23263298,-0.020319303338171224
2024-09-10,67000,67300,66000,66200,30651376,-0.01925925925925931
2024-09-11,65100,65500,64200,64900,35809707,-0.01963746223564955
2024-09-12,66000,66600,65200,66300,35884106,0.02157164869029282
2024-09-13,65000,65500,64300,64400,25045135,-0.02865761689291102
2024-09-19,64000,64400,62200,63100,49402713,-0.02018633540372672
2024-09-20,63800,64700,63000,63000,32746056,-0.0015847860538826808
2024-09-23,62300,63500,62200,62600,28542376,-0.006349206349206327
2024-09-24,62800,63400,62400,63200,26957500,0.009584664536741228
2024-09-25,63800,64200,62200,62200,28652438,-0.015822784810126556
2024-09-26,63900,64900,63700,64700,37566015,0.04019292604501601
2024-09-27,64700,65400,64200,64200,28433030,-0.007727975270479082
2024-09-30,64200,64300,61500,61500,32694163,-0.04205607476635509
2024-10-02,60500,61900,59900,61300,28473536,-0.003252032520325243
2024-10-04,61000,61700,60500,60600,24247578,-0.011419249592169667
2024-10-07,60200,61900,59500,61000,35066533,0.0066006600660066805
2024-10-08,60000,61000,59900,60300,27411786,-0.011475409836065542
2024-10-10,60100,60200,58900,58900,45262214,-0.023217247097844118
2024-10-11,59100,60100,59000,59300,29623969,0.00679117147707986
2024-10-14,59500,61200,59400,60800,20886249,0.025295109612141653
2024-10-15,61100,61400,60100,61000,22715239,0.00328947368421062
2024-10-16,59400,60000,59200,59500,23303268,-0.024590163934426257
2024-10-17,59400,60100,59100,59700,23372873,0.003361344537815114
2024-10-18,59900,60100,59100,59200,14420260,-0.008375209380234505
2024-10-21,59000,59600,58500,59000,18514905,-0.0033783783783783994
2024-10-22,58800,58900,57700,57700,27582527,-0.02203389830508473
2024-10-23,57500,60000,57100,59100,27300780,0.024263431542461023
2024-10-24,58200,58500,56600,56600,31499922,-0.04230118443316411
2024-10-25,56000,56900,55800,55900,25829315,-0.012367491166077715
2024-10-28,55700,58500,55700,58100,27775009,0.03935599284436497
2024-10-29,58000,59600,57300,59600,28369314,0.025817555938037806
2024-10-30,59100,59800,58600,59100,19838511,-0.008389261744966459
2024-10-31,58500,61200,58300,59200,35809196,0.0016920473773265332
2024-11-01,59000,59600,58100,58300,19083180,-0.015202702702702742
2024-11-04,58600,59400,58400,58700,15586947,0.006861063464836947
2024-11-05,57800,58100,57200,57600,17484474,-0.01873935264054516
2024-11-06,57600,58000,56300,57300,22092218,-0.00520833333333337
2024-11-07,56900,58100,56800,57500,17043102,0.003490401396160525
2024-11-08,58000,58300,57000,57000,13877396,-0.008695652173912993
2024-11-11,56700,56800,55000,55000,29811326,-0.03508771929824561
2024-11-12,54600,54600,53000,53000,37962881,-0.036363636363636376
2024-11-13,52000,53000,50500,50600,52527995,-0.04528301886792452
2024-11-14,50200,51800,49900,49900,48510715,-0.013833992094861691
2024-11-15,50300,54200,50300,53500,46774485,0.07214428857715438
2024-11-18,57000,57500,55900,56700,48095234,0.059813084112149584
2024-11-19,56500,57500,55900,56300,31539632,-0.007054673721340388
2024-11-20,56100,56500,54800,55300,20864667,-0.017761989342806372
2024-11-21,54900,56900,54700,56400,19096850,0.019891500904159143
2024-11-22,56000,56700,55900,56000,15281543,-0.007092198581560294
2024-11-25,57400,57900,56700,57900,36237325,0.03392857142857153
2024-11-26,57900,58900,57500,58300,23209405,0.006908462867012188
2024-11-27,57700,57800,56000,56300,21808387,-0.03430531732418529
2024-11-28,56000,56400,55200,55500,20001134,-0.014209591474245165
2024-11-29,55100,55300,53800,54200,24513531,-0.023423423423423406
2024-12-02,54300,54400,53100,53600,22044867,-0.011070110701106972
2024-12-03,53100,54400,53100,53600,23374603,0.0
2024-12-04,52000,53400,52000,53100,29004766,-0.009328358208955279
2024-12-05,53200,54400,53200,53700,23588277,0.011299435028248483
2024-12-06,53900,54400,52700,54100,22861874,0.007448789571694592
2024-12-09,53500,54600,53200,53400,26227680,-0.012939001848428888
2024-12-10,54500,54500,53700,54000,20783970,0.011235955056179803
2024-12-11,53600,54200,53400,54000,14565947,0.0
2024-12-12,54000,56500,53900,55900,33476698,0.03518518518518521
2024-12-13,55800,56300,55500,56100,15908823,0.003577817531305927
2024-12-16,56300,56600,55200,55600,15277277,-0.0089126559714795
2024-12-17,54700,55200,54000,54200,20215230,-0.025179856115107868
2024-12-18,54100,55400,54000,54900,13698937,0.012915129151291449
2024-12-19,53500,53800,53100,53100,22481925,-0.032786885245901676
2024-12-20,52700,53100,51900,53000,24674774,-0.0018832391713747842
2024-12-23,53400,54000,53300,53500,13672650,0.009433962264151052
2024-12-24,53700,54500,53600,54400,11634677,0.016822429906542036
2024-12-26,54500,54600,53500,53600,10517075,-0.014705882352941124
2024-12-27,53500,54100,53200,53700,10747196,0.001865671641791078
2024-12-30,53300,54000,53100,53200,12624702,-0.009310986964618295
2025-01-02,52700,53600,52300,53400,16630538,0.003759398496240518
2025-01-03,52800,55100,52800,54400,19318046,0.01872659176029967
2025-01-06,54400,56200,54300,55900,19034284,0.02757352941176472
2025-01-07,56800,57300,55400,55400,17030235,-0.008944543828264706
2025-01-08,54800,57500,54700,57300,26593553,0.03429602888086647
2025-01-09,57600,57700,56100,56100,24490592,-0.020942408376963373
2025-01-10,56100,56500,55200,55300,16059223,-0.014260249554367221
2025-01-13,54600,55000,54100,54100,16868600,-0.02169981916817365
2025-01-14,54200,54600,53700,53900,17465926,-0.003696857670979714
2025-01-15,54100,54700,53500,53700,18625025,-0.0037105751391465214
2025-01-16,54200,55000,54100,54300,18627298,0.011173184357541999
2025-01-17,53800,54100,53200,53700,18805344,-0.011049723756906049
2025-01-20,53600,53900,53300,53400,11822531,-0.005586592178770999
2025-01-21,53700,54300,53300,53500,13535702,0.001872659176029856
2025-01-22,53400,54400,53100,54300,18341991,0.01495327102803734
2025-01-23,53700,54100,53500,53700,15588067,-0.011049723756906049
2025-01-24,53600,53800,53200,53700,11867631,0.0
2025-01-31,52200,53000,51700,52400,42186279,-0.02420856610800748
2025-02-03,51100,51400,50800,51000,32344897,-0.026717557251908386
