Date,Open,High,Low,Close,Volume,Change
2024-08-12,8140,8380,8140,8270,65740,0.020987654320987703
2024-08-13,8280,8320,8000,8120,39717,-0.01813784764207982
2024-08-14,8120,8450,8120,8310,59236,0.023399014778325178
2024-08-16,8500,8500,8300,8420,42203,0.013237063778579916
2024-08-19,8850,9390,8220,8350,293463,-0.008313539192399078
2024-08-20,8350,8600,8350,8480,57682,0.015568862275449069
2024-08-21,8360,8470,8250,8430,31507,-0.005896226415094352
2024-08-22,8440,8560,8160,8210,41829,-0.0260972716488731
2024-08-23,8200,8300,7980,8290,41148,0.00974421437271622
2024-08-26,8290,8380,8190,8340,27899,0.006031363088057962
2024-08-27,8340,8640,8100,8600,65180,0.031175059952038398
2024-08-28,8630,8650,8230,8280,53951,-0.037209302325581395
2024-08-29,8060,8280,8060,8230,33717,-0.006038647342995196
2024-08-30,8220,8470,8170,8450,43746,0.026731470230862753
2024-09-02,8600,9180,8450,9150,149944,0.08284023668639051
2024-09-03,9120,9790,9020,9350,295031,0.021857923497267784
2024-09-04,9030,9300,8700,9010,83247,-0.036363636363636376
2024-09-05,9020,9340,8480,8510,77933,-0.05549389567147611
2024-09-06,8440,8570,7950,7950,58684,-0.06580493537015275
2024-09-09,7780,8180,7610,8110,29234,0.020125786163522008
2024-09-10,8110,9780,8060,8500,1050255,0.04808877928483346
2024-09-11,8540,8840,8180,8360,124199,-0.016470588235294126
2024-09-12,8360,9450,8360,9100,300100,0.08851674641148333
2024-09-13,9100,9400,8860,9020,78955,-0.00879120879120876
2024-09-19,9030,9340,8710,9130,88838,0.012195121951219523
2024-09-20,9130,9300,9010,9030,56419,-0.010952902519167584
2024-09-23,9030,9410,9030,9320,71492,0.032115171650055396
2024-09-24,9230,11240,9200,9740,3323612,0.045064377682403345
2024-09-25,9720,9840,9350,9420,236947,-0.03285420944558526
2024-09-26,9300,9610,9290,9580,137691,0.01698513800424628
2024-09-27,9470,9770,9260,9330,116043,-0.02609603340292277
2024-09-30,9200,9430,8960,9030,91639,-0.032154340836012874
2024-10-02,9000,9030,8650,8660,72234,-0.04097452934662238
2024-10-04,8590,8770,8510,8620,28823,-0.004618937644341847
2024-10-07,8640,9510,8640,9360,161357,0.08584686774941996
2024-10-08,9130,9220,9000,9090,48498,-0.028846153846153855
2024-10-10,9060,9260,8730,8740,42996,-0.03850385038503845
2024-10-11,8750,9010,8520,8520,43173,-0.02517162471395884
2024-10-14,8780,8780,8390,8450,30309,-0.008215962441314506
2024-10-15,8430,8610,8200,8350,34795,-0.011834319526627168
2024-10-16,8270,8350,8150,8230,30168,-0.014371257485029987
2024-10-17,8230,8330,8130,8170,25765,-0.007290400972053468
2024-10-18,8190,8220,7950,8000,32262,-0.020807833537331732
2024-10-21,7930,8200,7930,7960,28379,-0.0050000000000000044
2024-10-22,7890,7960,7540,7540,45432,-0.05276381909547734
2024-10-23,7520,7750,7440,7730,23213,0.025198938992042397
2024-10-24,7630,7630,7350,7360,34259,-0.047865459249676556
2024-10-25,7300,7450,7110,7150,26644,-0.028532608695652217
2024-10-28,7110,7440,7110,7380,17012,0.032167832167832255
2024-10-29,7340,7390,7180,7330,28863,-0.006775067750677488
2024-10-30,7350,7500,7260,7310,12581,-0.0027285129604365244
2024-10-31,7140,7530,7120,7480,22554,0.023255813953488413
2024-11-01,7320,7480,7170,7230,25166,-0.03342245989304815
2024-11-04,7160,7540,7160,7380,18312,0.020746887966804906
2024-11-05,7380,8040,7320,7810,51677,0.05826558265582649
2024-11-06,7810,8590,7630,7630,180677,-0.023047375160051176
2024-11-07,7700,8240,7530,7840,86940,0.02752293577981657
2024-11-08,7750,8010,7720,7950,37206,0.014030612244897878
2024-11-11,7930,9120,7930,8140,680660,0.023899371069182385
2024-11-12,8310,8900,7350,7370,320804,-0.09459459459459463
2024-11-13,7190,7900,7170,7460,104165,0.012211668928086894
2024-11-14,7470,7730,7110,7110,70031,-0.046916890080428986
2024-11-15,6970,7150,6600,7140,89769,0.00421940928270037
2024-11-18,6980,7350,6980,7270,38425,0.0182072829131652
2024-11-19,7200,7620,7110,7200,54272,-0.009628610729023435
2024-11-20,7420,7580,7220,7280,31776,0.011111111111111072
2024-11-21,7280,7350,6920,6930,60709,-0.04807692307692313
2024-11-22,6940,7300,6940,7000,36264,0.010101010101010166
2024-11-25,7010,7330,7010,7200,36808,0.02857142857142847
2024-11-26,7340,7340,7090,7200,18318,0.0
2024-11-27,7230,7490,7010,7420,72379,0.030555555555555447
2024-11-28,7460,7550,6960,7050,114591,-0.049865229110512166
2024-11-29,7100,7100,6820,6830,49833,-0.031205673758865293
2024-12-02,7010,7380,6600,6610,163875,-0.03221083455344065
2024-12-03,6550,6800,6550,6650,30536,0.00605143721633894
2024-12-04,6550,6590,6200,6380,69311,-0.04060150375939853
2024-12-05,6390,6500,6100,6180,28048,-0.031347962382445194
2024-12-06,6120,6250,5880,6050,69987,-0.021035598705501646
2024-12-09,5750,5900,5350,5420,68245,-0.10413223140495864
2024-12-10,5400,5900,5400,5890,42916,0.08671586715867163
2024-12-11,5750,6240,5750,6170,50147,0.04753820033955858
2024-12-12,6260,6300,6060,6180,21533,0.0016207455429497752
2024-12-13,6050,6570,6050,6270,50442,0.014563106796116498
2024-12-16,6280,6460,6100,6330,32031,0.009569377990430672
2024-12-17,6330,6510,6220,6340,30462,0.0015797788309637184
